#Full_name  Short_name
Geospiza_fortis	GEOFO
Taeniopygia_guttata	TAEGU
Corvus_brachyrhynchos	CORBR
Manacus_vitellinus	MANVI
Acanthisitta_chloris	ACACH
Melopsittacus_undulatus	MELUN
Nestor_notabilis	NESNO
Colius_striatus	COLST
Merops_nubicus	MERNU
Picoides_pubescens	PICPU
Buceros_rhinoceros	BUCSI
Apaloderma_vittatum	APAVI
Leptosomus_discolor	LEPDI
Cariama_cristata	CARCR
Falco_peregrinus	FALPE
Haliaeetus_albicilla	HALAL
Haliaeetus_leucocephalus	HALLE
Cathartes_aura	CATAU
Tyto_alba	TYTAL
Pelecanus_crispus	PELCR
Phalacrocorax_carbo	PHACA
Egretta_garzetta	EGRGA
Nipponia_nippon	NIPNI
Aptenodytes_forsteri	APTFO
Pygoscelis_adeliae	PYGAD
Fulmarus_glacialis	FULGL
Gavia_stellata	GAVST
Eurypyga_helias	EURHE
Phaethon_lepturus	PHALE
Phoenicopterus_ruber	PHORU
Podiceps_cristatus	PODCR
Balearica_regulorum	BALGI
Charadrius_vociferus	CHAVO
Chlamydotis_macqueenii	CHLMA
Tauraco_erythrolophus	TAUER
Ophisthocomus_hoazin	OPHHO
Columba_livia	COLLI
Cuculus_canorus	CUCCA
Mesitornis_unicolor	MESUN
Pterocles_gutturalis	PTEGU
Calypte_anna	CALAN
Chaetura_pelagica	CHAPE
Antrostomus_carolinensis	CAPCA
Gallus_gallus	GALGA
Meleagris_gallopavo	MELGA
Anas_platyrhynchos	ANADO
Struthio_camelus	STRCA
Tinamus_guttatus	TINGU
